New York,  8459026,  New York, -73.94,40.67
Los Angeles,  3878715,  California, -118.41,34.11
Chicago,  2878948,  Illinois, -87.68,41.84
Houston,  2307883,  Texas, -95.39,29.77
Phoenix,  1635783,  Arizona, -112.07,33.54
Philadelphia,  1445993,  Pennsylvania, -75.13,40.01
San Antonio,  1402013,  Texas, -98.51,29.46
San Diego,  1309749,  California, -117.14,32.81
Dallas,  1304930,  Texas, -96.77,32.79
San Jose,  977893,  California, -121.85,37.3
Detroit,  901160,  Michigan, -83.1,42.38
Jacksonville,  822401,  Florida, -81.66,30.33
San Francisco,  817411,  California, -122.45,37.77
Indianapolis,  803930,  Indiana, -86.15,39.78
Austin,  792778,  Texas, -97.75,30.31
Columbus,  768662,  Ohio, -82.99,39.99
Fort Worth,  751149,  Texas, -97.34,32.75
Charlotte,  723514,  North Carolina, -80.83,35.2
Memphis,  662989,  Tennessee, -90.01,35.11
Baltimore,  632410,  Maryland, -76.61,39.3
El Paso,  631862,  Texas, -106.44,31.85
Seattle,  614214,  Washington, -122.35,47.62
Boston,  610407,  Massachusetts, -71.02,42.34
Denver,  609651,  Colorado, -104.87,39.77
Milwaukee,  606508,  Wisconsin, -87.97,43.06
Nashville,  605197,  Tennessee, -86.78,36.17
Washington,  597885,  District of Columbia, -77.02,38.91
Portland,  573530,  Oregon, -122.66,45.54
Atlanta,  571861,  Georgia, -84.42,33.76
Las Vegas,  570083,  Nevada, -115.22,36.21
Oklahoma City,  564147,  Oklahoma, -97.51,35.47
Louisville,  556482,  Kentucky, -85.74,38.22
Tucson,  551067,  Arizona, -110.89,32.2
Albuquerque,  535923,  New Mexico, -106.62,35.12
Fresno,  490930,  California, -119.79,36.78
Sacramento,  475452,  California, -121.47,38.57
Mesa,  474115,  Arizona, -111.74,33.42
Long Beach,  464505,  California, -118.16,33.79
Kansas City,  454520,  Missouri, -94.55,39.12
Omaha,  449283,  Nebraska, -96.01,41.26
Virginia Beach,  439564,  Virginia, -76.04,36.74
Miami,  425242,  Florida, -80.21,25.78
Cleveland,  424526,  Ohio, -81.68,41.48
Raleigh,  421938,  North Carolina, -78.66,35.82
Oakland,  412612,  California, -122.22,37.77
Colorado Springs,  388306,  Colorado, -104.76,38.86
Tulsa,  387683,  Oklahoma, -95.92,36.13
Minneapolis,  386751,  Minnesota, -93.27,44.96
Arlington,  385024,  Texas, -97.13,32.69
Honolulu,  375134,  Hawaii, -157.8,21.32
Wichita,  374803,  Kansas, -97.34,37.69
Tampa,  351091,  Florida, -82.48,27.96
Saint Louis,  349763,  Missouri, -90.24,38.64
Anaheim,  342336,  California, -117.87,33.84
Santa Ana,  341991,  California, -117.88,33.74
Bakersfield,  336429,  California, -119,35.36
Aurora,  334924,  Colorado, -104.73,39.71
Cincinnati,  332807,  Ohio, -84.51,39.14
Pittsburgh,  305708,  Pennsylvania, -79.98,40.44
Riverside,  302653,  California, -117.4,33.94
Corpus Christi,  296937,  Texas, -97.29,27.71
Stockton,  291422,  California, -121.31,37.97
Toledo,  288207,  Ohio, -83.58,41.66
Anchorage,  283690,  Alaska, -149.19,61.18
Plano,  282016,  Texas, -96.75,33.05
Saint Paul,  281501,  Minnesota, -93.1,44.95
Newark,  279278,  New Jersey, -74.17,40.72
Lexington,  279146,  Kentucky, -84.46,38.04
Buffalo,  267037,  New York, -78.86,42.89
Henderson,  265681,  Nevada, -115,36.03
Paradise,  261122,  Nevada, -115.13,36.08
Greensboro,  259523,  North Carolina, -79.83,36.08
Chandler,  258122,  Arizona, -111.87,33.3
Lincoln,  257612,  Nebraska, -96.69,40.82
Glendale,  255662,  Arizona, -112.2,33.58
Fort Wayne,  253250,  Indiana, -85.14,41.07
Saint Petersburg,  243829,  Florida, -82.64,27.76
Gilbert,  243090,  Arizona, -111.76,33.33
Jersey City,  242594,  New Jersey, -74.06,40.71
Scottsdale,  241464,  Arizona, -111.87,33.69
Madison,  237838,  Wisconsin, -89.39,43.08
North Las Vegas,  236574,  Nevada, -115.14,36.27
Orlando,  235745,  Florida, -81.37,28.5
Durham,  235337,  North Carolina, -78.91,35.98
Norfolk,  234477,  Virginia, -76.24,36.92
Laredo,  232298,  Texas, -99.49,27.53
Chula Vista,  226606,  California, -117.04,32.63
Lubbock,  226180,  Texas, -101.88,33.58
Birmingham,  226152,  Alabama, -86.8,33.53
Irvine,  223785,  California, -117.8,33.66
Chesapeake,  223315,  Virginia, -76.31,36.68
Winston-Salem,  223127,  North Carolina, -80.26,36.1
Baton Rouge,  221091,  Louisiana, -91.13,30.45
Reno,  221051,  Nevada, -119.82,39.54
Garland,  220597,  Texas, -96.63,32.91
Sunrise Manor,  219092,  Nevada, -115.05,36.19
Arlington,  214890,  Virginia, -77.1,38.88
Spring Valley,  212144,  Nevada, -115.24,36.11
Boise City,  210099,  Idaho, -116.23,43.61
Hialeah,  209524,  Florida, -80.3,25.86
Fremont,  207431,  California, -122,37.53
Irving,  206798,  Texas, -96.97,32.86
New Orleans,  206720,  Louisiana, -89.93,30.07
